District,students_sat,students_passed,stream,year
Ratnapura,1430,854,physical science,2020
Batticaloa,566,335,physical science,2020
Hambantota,1452,836,physical science,2020
Matale,488,270,physical science,2020
Anuradhapura,1148,621,physical science,2020
Ampara,974,514,physical science,2020
Monaragala,517,267,physical science,2020
Nuwara Eliya,697,357,physical science,2020
Vavuniya,215,110,physical science,2020
Kilinochchi,193,96,physical science,2020
Polonnaruwa,421,205,physical science,2020
Mullaitivu,126,58,physical science,2020
All Island,33287,20427,physical science,2020
Mannar,762,542,arts,2021
Badulla,5062,3578,arts,2021
Vavuniya,940,659,arts,2021
Mullaitivu,727,507,arts,2021
Trincomalee,2705,1877,arts,2021
Matale,2069,1804,arts,2021
Nuwara Eliya,3468,2392,arts,2021
Jaffna,3000,2033,arts,2021
Kegalle,4952,3349,arts,2021
Matara,3084,2066,arts,2021
Kilinochchi,727,482,arts,2021
Puttalam,3606,2384,arts,2021
Polonnaruwa,2132,1387,arts,2021
Ampara,4393,2850,arts,2021
Anuradhapura,5234,3383,arts,2021
Kurunegala,9981,6435,arts,2021
Batticaloa,3384,2180,arts,2021
Matara,4526,2915,arts,2021
Ratnapura,5599,3824,arts,2021
Hambantota,3707,2323,arts,2021
Kandy,8333,5211,arts,2021
Kalutara,5595,3488,arts,2021
Gampaha,6870,5341,arts,2021
Galle,592,3366,arts,2021
Colombo,7834,4603,arts,2021
All Island,107002,68959,arts,2021
Colombo,4517,3008,bio science,2020
Galle,2370,1477,bio science,2020
Matara,1793,1104,bio science,2020
Gampaha,3028,1805,bio science,2020
Kalutara,1992,1176,bio science,2020
Jaffna,1472,869,bio science,2020
Puttalam,1023,586,bio science,2020
Kandy,3123,1681,bio science,2020
Mannar,210,113,bio science,2020
Trincomalee,615,330,bio science,2020
Ratnapura,1922,1028,bio science,2020
Batticaloa,966,515,bio science,2020
Kurunegala,3213,1712,bio science,2020
Kegalle,1830,940,bio science,2020
Badulla,1476,757,bio science,2020
Hambantota,1409,722,bio science,2020
Ampara,1473,742,bio science,2020
Mullaitivu,176,88,bio science,2020
Matale,823,409,bio science,2020
Vavuniya,336,165,bio science,2020
Kilinochchi,239,116,bio science,2020
Monaragala,772,357,bio science,2020
Nuwara Eliya,1019,462,bio science,2020
Anuradhapura,1390,595,bio science,2020
Polonnaruwa,730,305,bio science,2020
All Island,37917,21062,bio science,2020
Jaffna,1263,825,bio science,2022
Trincomalee,603,393,bio science,2022
Batticaloa,924,587,bio science,2022
Puttalam,915,573,bio science,2022
Colombo,3744,2329,bio science,2022
Mannar,163,101,bio science,2022
Galle,1964,1174,bio science,2022
Kalutara,1674,998,bio science,2022
Mullaitivu,166,98,bio science,2022
Gampaha,2409,1407,bio science,2022
Matara,1442,822,bio science,2022
Kilinochchi,239,136,bio science,2022
Ampara,1254,711,bio science,2022
Hambantota,1291,722,bio science,2022
Kurunegala,2675,1470,bio science,2022
Kandy,2496,1366,bio science,2022
Vavuniya,287,157,bio science,2022
Badulla,1328,726,bio science,2022
Ratnapura,1851,992,bio science,2022
Matale,663,348,bio science,2022
Kegalle,1485,750,bio science,2022
Nuwara Eliya,845,405,bio science,2022
Monaragala,805,384,bio science,2022
Anuradhapura,1321,599,bio science,2022
Polonnaruwa,590,262,bio science,2022
All Island,32397,18335,bio science,2022
Trincomalee,104,88,bio sys tech,2022
Vavuniya,48,40,bio sys tech,2022
Badulla,527,425,bio sys tech,2022
Kalutara,298,235,bio sys tech,2022
Batticaloa,212,167,bio sys tech,2022
Ampara,288,226,bio sys tech,2022
Kegalle,465,363,bio sys tech,2022
Gampaha,491,377,bio sys tech,2022
Colombo,443,336,bio sys tech,2022
