District,year,degree,z-score_cutoff
ANURADHAPURA,2019,MEDICINE Wayamba University of Sri Lanka,1.7481
POLONNARUWA,2019,MEDICINE Wayamba University of Sri Lanka,1.843
BADULLA,2019,MEDICINE Wayamba University of Sri Lanka,1.9109
MONARAGALA,2019,MEDICINE Wayamba University of Sri Lanka,1.6753
KEGALLE,2019,MEDICINE Wayamba University of Sri Lanka,2.1362
RATNAPURA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
COLOMBO,2019,DENTAL SURGERY University of Peradeniya,2.0326
GAMPAHA,2019,DENTAL SURGERY University of Peradeniya,1.913
KALUTARA,2019,DENTAL SURGERY University of Peradeniya,2.0355
MATALE,2019,DENTAL SURGERY University of Peradeniya,1.8557
KANDY,2019,DENTAL SURGERY University of Peradeniya,1.9612
NUWARA ELIYA,2019,DENTAL SURGERY University of Peradeniya,1.4729
GALLE,2019,DENTAL SURGERY University of Peradeniya,2.0186
MATARA,2019,DENTAL SURGERY University of Peradeniya,2.0314
HAMBANTOTA,2019,DENTAL SURGERY University of Peradeniya,1.8047
JAFFNA,2019,DENTAL SURGERY University of Peradeniya,1.9479
KILINOCHCHI,2019,DENTAL SURGERY University of Peradeniya,1.5918
MANNAR,2019,DENTAL SURGERY University of Peradeniya,1.8964
MULLAITIVU,2019,DENTAL SURGERY University of Peradeniya,1.1326
VAVUNIYA,2019,DENTAL SURGERY University of Peradeniya,1.7721
TRINCOMALEE,2019,DENTAL SURGERY University of Peradeniya,1.7716
BATTICALOA,2019,DENTAL SURGERY University of Peradeniya,1.7515
AMPARA,2019,DENTAL SURGERY University of Peradeniya,1.7298
PUTTALAM,2019,DENTAL SURGERY University of Peradeniya,1.7951
KURUNEGALA,2019,DENTAL SURGERY University of Peradeniya,1.9979
ANURADHAPURA,2019,DENTAL SURGERY University of Peradeniya,1.6278
POLONNARUWA,2019,DENTAL SURGERY University of Peradeniya,1.7827
BADULLA,2019,DENTAL SURGERY University of Peradeniya,1.773
MONARAGALA,2019,DENTAL SURGERY University of Peradeniya,1.6367
KEGALLE,2019,DENTAL SURGERY University of Peradeniya,2.0342
RATNAPURA,2019,DENTAL SURGERY University of Peradeniya,1.9308
COLOMBO,2019,VETERINARY SCIENCE University of Peradeniya,1.8619
GAMPAHA,2019,VETERINARY SCIENCE University of Peradeniya,1.89
KALUTARA,2019,VETERINARY SCIENCE University of Peradeniya,1.9417
MATALE,2019,VETERINARY SCIENCE University of Peradeniya,1.8452
KANDY,2019,VETERINARY SCIENCE University of Peradeniya,1.9482
NUWARA ELIYA,2019,VETERINARY SCIENCE University of Peradeniya,1.437
GALLE,2019,VETERINARY SCIENCE University of Peradeniya,1.959
MATARA,2019,VETERINARY SCIENCE University of Peradeniya,1.9219
HAMBANTOTA,2019,VETERINARY SCIENCE University of Peradeniya,1.7601
JAFFNA,2019,VETERINARY SCIENCE University of Peradeniya,1.9343
KILINOCHCHI,2019,VETERINARY SCIENCE University of Peradeniya,1.4078
MANNAR,2019,VETERINARY SCIENCE University of Peradeniya,1.6798
MULLAITIVU,2019,VETERINARY SCIENCE University of Peradeniya,0.9074
VAVUNIYA,2019,VETERINARY SCIENCE University of Peradeniya,1.6451
TRINCOMALEE,2019,VETERINARY SCIENCE University of Peradeniya,1.6728
BATTICALOA,2019,VETERINARY SCIENCE University of Peradeniya,1.6679
AMPARA,2019,VETERINARY SCIENCE University of Peradeniya,1.6903
