District,year,degree,z-score_cutoff
TRINCOMALEE,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,0.8868
BATTICALOA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0411
AMPARA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,0.9975
PUTTALAM,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,0.9727
KURUNEGALA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0935
ANURADHAPURA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0368
POLONNARUWA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,0.7744
BADULLA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0624
MONARAGALA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,0.9412
KEGALLE,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0777
RATNAPURA,2018,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,1.0869
COLOMBO,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0685
GAMPAHA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9909
KALUTARA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.068
MATALE,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.997
KANDY,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0862
NUWARA ELIYA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.943
GALLE,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0775
MATARA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0617
HAMBANTOTA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0934
JAFFNA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0872
KILINOCHCHI,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9398
MANNAR,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.4383
MULLAITIVU,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.5665
VAVUNIYA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.6247
TRINCOMALEE,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9504
BATTICALOA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0872
AMPARA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9177
PUTTALAM,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9903
KURUNEGALA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0759
ANURADHAPURA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9862
POLONNARUWA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.97
BADULLA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0247
MONARAGALA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9393
KEGALLE,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0707
RATNAPURA,2018,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0647
COLOMBO,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1506
GAMPAHA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1569
KALUTARA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.9803
MATALE,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.208
KANDY,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1765
NUWARA ELIYA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.6924
GALLE,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2117
MATARA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2014
HAMBANTOTA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1401
JAFFNA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2103
KILINOCHCHI,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.4394
MANNAR,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.9772
MULLAITIVU,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.9439
VAVUNIYA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2151
TRINCOMALEE,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.9315
BATTICALOA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1054
AMPARA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.0065
PUTTALAM,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.096
KURUNEGALA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1098
ANURADHAPURA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.0407
POLONNARUWA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,0.9789
BADULLA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.163
MONARAGALA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2186
KEGALLE,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.2406
RATNAPURA,2018,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,1.1981
COLOMBO,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.12
GAMPAHA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1263
KALUTARA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0903
MATALE,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0624
KANDY,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1575
NUWARA ELIYA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1224
GALLE,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0876
MATARA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1764
HAMBANTOTA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0104
JAFFNA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1774
KILINOCHCHI,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0576
MANNAR,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,0.8164
MULLAITIVU,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,0.6883
VAVUNIYA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.106
TRINCOMALEE,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0507
BATTICALOA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1551
AMPARA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9765
PUTTALAM,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0678
KURUNEGALA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1335
ANURADHAPURA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0534
POLONNARUWA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9217
BADULLA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0554
MONARAGALA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0743
KEGALLE,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.1487
RATNAPURA,2018,MINERAL RESOURCES & TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0991
COLOMBO,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0503
GAMPAHA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0404
KALUTARA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0674
MATALE,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.001
KANDY,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0687
NUWARA ELIYA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9474
GALLE,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0725
MATARA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0876
HAMBANTOTA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0554
JAFFNA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9968
KILINOCHCHI,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.4419
MANNAR,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.7108
MULLAITIVU,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.5514
VAVUNIYA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.7883
TRINCOMALEE,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.8217
BATTICALOA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9772
AMPARA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9203
PUTTALAM,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.9828
KURUNEGALA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0856
ANURADHAPURA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0028
POLONNARUWA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,0.8905
BADULLA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0204
MONARAGALA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0341
KEGALLE,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.0827
RATNAPURA,2018,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,1.035
COLOMBO,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0469
GAMPAHA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9815
KALUTARA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0499
MATALE,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9957
KANDY,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0498
NUWARA ELIYA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9462
GALLE,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0405
MATARA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0518
HAMBANTOTA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0109
JAFFNA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9417
KILINOCHCHI,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.6498
MANNAR,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.4561
MULLAITIVU,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.4929
VAVUNIYA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.6757
TRINCOMALEE,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.7555
BATTICALOA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0247
AMPARA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9127
PUTTALAM,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9595
KURUNEGALA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0507
ANURADHAPURA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.9379
POLONNARUWA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.8088
BADULLA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.952
MONARAGALA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,0.8744
KEGALLE,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0523
RATNAPURA,2018,PALM & LATEX TECHNOLOGY AND VALUE ADDITION Uva Wellassa University of Sri Lanka,1.0163
COLOMBO,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2305
GAMPAHA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2057
KALUTARA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2095
MATALE,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2697
KANDY,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2607
NUWARA ELIYA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",0.9165
GALLE,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2221
MATARA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2682
HAMBANTOTA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1698
JAFFNA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1066
KILINOCHCHI,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",-0.2368
MANNAR,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.0074
MULLAITIVU,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",NQC
VAVUNIYA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",0.8649
TRINCOMALEE,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1538
BATTICALOA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",0.9752
AMPARA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",0.9487
PUTTALAM,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2118
KURUNEGALA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2236
ANURADHAPURA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1595
POLONNARUWA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.0108
BADULLA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1054
MONARAGALA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2646
KEGALLE,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.1643
RATNAPURA,2018,"HOSPITALITY, TOURISM
AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",1.2333
COLOMBO,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9711
GAMPAHA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9809
KALUTARA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9051
MATALE,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9121
KANDY,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9016
NUWARA ELIYA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9426
GALLE,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9353
MATARA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9668
HAMBANTOTA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9532
JAFFNA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9254
KILINOCHCHI,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
MANNAR,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
MULLAITIVU,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
VAVUNIYA,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
TRINCOMALEE,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
BATTICALOA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9016
AMPARA,2018,ENGINEERING TECHNOLOGY University of Colombo,2.0454
PUTTALAM,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
KURUNEGALA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9143
ANURADHAPURA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9384
POLONNARUWA,2018,ENGINEERING TECHNOLOGY University of Colombo,2.2735
BADULLA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.983
MONARAGALA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9581
KEGALLE,2018,ENGINEERING TECHNOLOGY University of Colombo,NQC
RATNAPURA,2018,ENGINEERING TECHNOLOGY University of Colombo,1.9273
COLOMBO,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.091
GAMPAHA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0994
KALUTARA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0458
MATALE,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1138
KANDY,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1721
NUWARA ELIYA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0563
GALLE,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.064
MATARA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.051
HAMBANTOTA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1051
JAFFNA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0949
KILINOCHCHI,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,NQC
MANNAR,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,NQC
MULLAITIVU,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,NQC
VAVUNIYA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,NQC
TRINCOMALEE,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0995
BATTICALOA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0903
AMPARA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1721
PUTTALAM,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1728
KURUNEGALA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1424
ANURADHAPURA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0756
POLONNARUWA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.3419
BADULLA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0823
MONARAGALA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.0679
KEGALLE,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1251
RATNAPURA,2018,ENGINEERING TECHNOLOGY University of Sri Jayewardenepura,2.1128
COLOMBO,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8111
GAMPAHA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.7999
KALUTARA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8051
MATALE,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8563
KANDY,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8479
NUWARA ELIYA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
GALLE,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8051
MATARA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8213
HAMBANTOTA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8606
JAFFNA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.81
KILINOCHCHI,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
MANNAR,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
MULLAITIVU,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
VAVUNIYA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8609
TRINCOMALEE,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
BATTICALOA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8164
AMPARA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.9763
PUTTALAM,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8314
KURUNEGALA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8088
ANURADHAPURA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8498
POLONNARUWA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,NQC
BADULLA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8809
MONARAGALA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8051
KEGALLE,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8018
RATNAPURA,2018,ENGINEERING TECHNOLOGY University of Kelaniya,1.8728
COLOMBO,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.2905
GAMPAHA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.381
KALUTARA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.2095
MATALE,2018,ENGINEERING TECHNOLOGY University of Jaffna,NQC
KANDY,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0721
NUWARA ELIYA,2018,ENGINEERING TECHNOLOGY University of Jaffna,0.9222
GALLE,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.4915
MATARA,2018,ENGINEERING TECHNOLOGY University of Jaffna,NQC
HAMBANTOTA,2018,ENGINEERING TECHNOLOGY University of Jaffna,NQC
JAFFNA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.3014
KILINOCHCHI,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0344
MANNAR,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0579
MULLAITIVU,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0793
VAVUNIYA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.1028
TRINCOMALEE,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0394
BATTICALOA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.2209
AMPARA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.1084
PUTTALAM,2018,ENGINEERING TECHNOLOGY University of Jaffna,0.9197
KURUNEGALA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.3573
ANURADHAPURA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.3456
POLONNARUWA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.0632
BADULLA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.3298
MONARAGALA,2018,ENGINEERING TECHNOLOGY University of Jaffna,NQC
KEGALLE,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.1666
RATNAPURA,2018,ENGINEERING TECHNOLOGY University of Jaffna,1.3257
COLOMBO,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5834
GAMPAHA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5939
KALUTARA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5873
MATALE,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5988
KANDY,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.8339
NUWARA ELIYA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.6178
GALLE,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5708
MATARA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5659
HAMBANTOTA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,1.5723
JAFFNA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,NQC
KILINOCHCHI,2018,ENGINEERING TECHNOLOGY University of Ruhuna,NQC
MANNAR,2018,ENGINEERING TECHNOLOGY University of Ruhuna,NQC
MULLAITIVU,2018,ENGINEERING TECHNOLOGY University of Ruhuna,NQC
VAVUNIYA,2018,ENGINEERING TECHNOLOGY University of Ruhuna,NQC
