District,stream,degree,year,students_sat,students_passed,z-score_cutoff
kegalle,physical science,PHYSICAL SCIENCE University of Sri Jayewardenepura,2020,1410,852,1.2345
ratnapura,physical science,PHYSICAL SCIENCE University of Sri Jayewardenepura,2020,1430,854,1.2372
colombo,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,5066,3440,1.1429
gampaha,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,3467,2097,1.143
kalutara,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,2029,1272,1.1439
matale,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,488,270,1.1645
kandy,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,2098,1261,1.1465
galle,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,2442,1620,1.1471
hambantota,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1452,836,1.1568
jaffna,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1341,880,1.1778
batticaloa,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,566,335,1.3022
ampara,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,974,514,1.1853
puttalam,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,761,487,1.1512
kurunegala,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,2624,1618,1.1431
anuradhapura,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1148,621,1.1664
badulla,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1347,817,1.1436
kegalle,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1410,852,1.1428
ratnapura,physical science,PHYSICAL SCIENCE University of Kelaniya,2020,1430,854,1.1468
colombo,physical science,PHYSICAL SCIENCE University of Jaffna,2020,5066,3440,1.0743
gampaha,physical science,PHYSICAL SCIENCE University of Jaffna,2020,3467,2097,0.8055
kalutara,physical science,PHYSICAL SCIENCE University of Jaffna,2020,2029,1272,1.0054
matale,physical science,PHYSICAL SCIENCE University of Jaffna,2020,488,270,0.8743
kandy,physical science,PHYSICAL SCIENCE University of Jaffna,2020,2098,1261,0.9043
nuwara eliya,physical science,PHYSICAL SCIENCE University of Jaffna,2020,697,357,0.807
galle,physical science,PHYSICAL SCIENCE University of Jaffna,2020,2442,1620,1.0899
hambantota,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1452,836,0.9012
jaffna,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1341,880,0.8585
kilinochchi,physical science,PHYSICAL SCIENCE University of Jaffna,2020,193,96,0.85
trincomalee,physical science,PHYSICAL SCIENCE University of Jaffna,2020,368,224,0.9217
batticaloa,physical science,PHYSICAL SCIENCE University of Jaffna,2020,566,335,0.827
ampara,physical science,PHYSICAL SCIENCE University of Jaffna,2020,974,514,0.8013
puttalam,physical science,PHYSICAL SCIENCE University of Jaffna,2020,761,487,0.8023
kurunegala,physical science,PHYSICAL SCIENCE University of Jaffna,2020,2624,1618,0.9882
anuradhapura,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1148,621,0.8249
polonnaruwa,physical science,PHYSICAL SCIENCE University of Jaffna,2020,421,205,0.8055
badulla,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1347,817,0.8158
monaragala,physical science,PHYSICAL SCIENCE University of Jaffna,2020,517,267,0.8197
kegalle,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1410,852,1.0282
ratnapura,physical science,PHYSICAL SCIENCE University of Jaffna,2020,1430,854,0.8076
colombo,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,5066,3440,1.0706
gampaha,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,3467,2097,1.0677
kalutara,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,2029,1272,1.0651
matale,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,488,270,1.0773
kandy,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,2098,1261,1.071
galle,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,2442,1620,1.0658
hambantota,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1452,836,1.0754
jaffna,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1341,880,1.0965
ampara,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,974,514,1.0798
puttalam,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,761,487,1.0728
kurunegala,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,2624,1618,1.0663
anuradhapura,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1148,621,1.0689
badulla,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1347,817,1.07
kegalle,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1410,852,1.0652
ratnapura,physical science,PHYSICAL SCIENCE University of Ruhuna,2020,1430,854,1.0655
gampaha,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,3467,2097,0.8101
kalutara,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,2029,1272,0.977
matale,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,488,270,0.5548
kandy,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,2098,1261,0.8991
nuwara eliya,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,697,357,0.4673
galle,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,2442,1620,1.0408
hambantota,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,1452,836,0.9021
jaffna,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,1341,880,0.8697
kilinochchi,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,193,96,0.512
mannar,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,118,78,0.465
vavuniya,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,215,110,0.4808
trincomalee,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,368,224,0.4689
batticaloa,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,566,335,0.467
ampara,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,974,514,0.6897
puttalam,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,761,487,0.5595
kurunegala,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,2624,1618,1.0158
anuradhapura,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,1148,621,0.7551
polonnaruwa,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,421,205,0.4751
badulla,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,1347,817,0.7846
monaragala,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,517,267,0.5511
ratnapura,physical science,"PHYSICAL SCIENCE Eastern University, Sri Lanka",2020,1430,854,0.7467
gampaha,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,3467,2097,0.8653
kalutara,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,2029,1272,0.9924
matale,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,488,270,0.7139
kandy,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,2098,1261,0.8995
nuwara eliya,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,697,357,0.3471
hambantota,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,1452,836,0.9245
jaffna,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,1341,880,0.8843
kilinochchi,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,193,96,0.4373
mannar,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,118,78,0.133
mullaitivu,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,126,58,0.1358
vavuniya,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,215,110,0.2092
trincomalee,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,368,224,0.2547
batticaloa,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,566,335,0.447
ampara,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,974,514,0.6705
puttalam,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,761,487,0.5825
kurunegala,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,2624,1618,1.0163
anuradhapura,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,1148,621,0.7609
polonnaruwa,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,421,205,0.4535
badulla,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,1347,817,0.7918
monaragala,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,517,267,0.5488
ratnapura,physical science,PHYSICAL SCIENCE South Eastern University of Sri Lanka,2020,1430,854,0.7552
colombo,commerce,MANAGEMENT University of Colombo,2020,9522,7029,1.7136
gampaha,commerce,MANAGEMENT University of Colombo,2020,6173,4504,1.7136
kalutara,commerce,MANAGEMENT University of Colombo,2020,3407,2510,1.7149
matale,commerce,MANAGEMENT University of Colombo,2020,1236,850,1.7188
kandy,commerce,MANAGEMENT University of Colombo,2020,4045,2737,1.7137
nuwara eliya,commerce,MANAGEMENT University of Colombo,2020,1474,1015,1.717
galle,commerce,MANAGEMENT University of Colombo,2020,3168,2317,1.7142
matara,commerce,MANAGEMENT University of Colombo,2020,2049,1498,1.7177
hambantota,commerce,MANAGEMENT University of Colombo,2020,1246,814,1.7138
jaffna,commerce,MANAGEMENT University of Colombo,2020,1049,737,1.7791
mannar,commerce,MANAGEMENT University of Colombo,2020,266,185,1.765
mullaitivu,commerce,MANAGEMENT University of Colombo,2020,225,151,1.7324
vavuniya,commerce,MANAGEMENT University of Colombo,2020,356,221,1.7245
trincomalee,commerce,MANAGEMENT University of Colombo,2020,720,455,1.7168
batticaloa,commerce,MANAGEMENT University of Colombo,2020,862,565,1.7496
ampara,commerce,MANAGEMENT University of Colombo,2020,1217,779,1.7136
puttalam,commerce,MANAGEMENT University of Colombo,2020,1394,1102,1.7132
kurunegala,commerce,MANAGEMENT University of Colombo,2020,3119,2538,1.7132
anuradhapura,commerce,MANAGEMENT University of Colombo,2020,2088,1453,1.7284
polonnaruwa,commerce,MANAGEMENT University of Colombo,2020,1066,791,1.7166
badulla,commerce,MANAGEMENT University of Colombo,2020,2113,1467,1.734
monaragala,commerce,MANAGEMENT University of Colombo,2020,1277,823,1.7228
kegalle,commerce,MANAGEMENT University of Colombo,2020,2011,1411,1.722
ratnapura,commerce,MANAGEMENT University of Colombo,2020,2821,1989,1.7158
colombo,commerce,MANAGEMENT University of Peradeniya,2020,9522,7029,1.563
gampaha,commerce,MANAGEMENT University of Peradeniya,2020,6173,4504,1.562
kalutara,commerce,MANAGEMENT University of Peradeniya,2020,3407,2510,1.5682
matale,commerce,MANAGEMENT University of Peradeniya,2020,1236,850,1.5601
kandy,commerce,MANAGEMENT University of Peradeniya,2020,4045,2737,1.562
nuwara eliya,commerce,MANAGEMENT University of Peradeniya,2020,1474,1015,1.5599
galle,commerce,MANAGEMENT University of Peradeniya,2020,3168,2317,1.5633
matara,commerce,MANAGEMENT University of Peradeniya,2020,2049,1498,1.5614
hambantota,commerce,MANAGEMENT University of Peradeniya,2020,1246,814,1.5891
jaffna,commerce,MANAGEMENT University of Peradeniya,2020,1049,737,1.5599
kilinochchi,commerce,MANAGEMENT University of Peradeniya,2020,237,159,1.6108
mannar,commerce,MANAGEMENT University of Peradeniya,2020,266,185,1.5592
mullaitivu,commerce,MANAGEMENT University of Peradeniya,2020,225,151,1.5783
vavuniya,commerce,MANAGEMENT University of Peradeniya,2020,356,221,1.5989
trincomalee,commerce,MANAGEMENT University of Peradeniya,2020,720,455,1.5843
batticaloa,commerce,MANAGEMENT University of Peradeniya,2020,862,565,1.5783
ampara,commerce,MANAGEMENT University of Peradeniya,2020,1217,779,1.5601
puttalam,commerce,MANAGEMENT University of Peradeniya,2020,1394,1102,1.5743
kurunegala,commerce,MANAGEMENT University of Peradeniya,2020,3119,2538,1.5593
anuradhapura,commerce,MANAGEMENT University of Peradeniya,2020,2088,1453,1.5601
polonnaruwa,commerce,MANAGEMENT University of Peradeniya,2020,1066,791,1.6379
badulla,commerce,MANAGEMENT University of Peradeniya,2020,2113,1467,1.5615
monaragala,commerce,MANAGEMENT University of Peradeniya,2020,1277,823,1.6537
kegalle,commerce,MANAGEMENT University of Peradeniya,2020,2011,1411,1.5593
ratnapura,commerce,MANAGEMENT University of Peradeniya,2020,2821,1989,1.589
colombo,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,9522,7029,1.7897
gampaha,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,6173,4504,1.7914
kalutara,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,3407,2510,1.7984
matale,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1236,850,1.8002
kandy,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,4045,2737,1.8018
nuwara eliya,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1474,1015,1.7922
galle,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,3168,2317,1.7928
matara,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,2049,1498,1.8104
hambantota,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1246,814,1.8249
jaffna,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1049,737,1.7934
kilinochchi,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,237,159,2.0818
mullaitivu,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,225,151,1.79
trincomalee,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,720,455,1.7909
batticaloa,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,862,565,1.82
ampara,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1217,779,1.876
puttalam,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1394,1102,1.8029
kurunegala,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,3119,2538,1.7937
anuradhapura,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,2088,1453,1.7978
polonnaruwa,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1066,791,1.8012
badulla,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,2113,1467,1.7932
monaragala,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,1277,823,1.7978
kegalle,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,2011,1411,1.7917
ratnapura,commerce,MANAGEMENT University of Sri Jayewardenepura,2020,2821,1989,1.8206
colombo,commerce,MANAGEMENT University of Kelaniya,2020,9522,7029,1.6021
gampaha,commerce,MANAGEMENT University of Kelaniya,2020,6173,4504,1.6034
kalutara,commerce,MANAGEMENT University of Kelaniya,2020,3407,2510,1.6021
matale,commerce,MANAGEMENT University of Kelaniya,2020,1236,850,1.6462
kandy,commerce,MANAGEMENT University of Kelaniya,2020,4045,2737,1.6027
nuwara eliya,commerce,MANAGEMENT University of Kelaniya,2020,1474,1015,1.6124
galle,commerce,MANAGEMENT University of Kelaniya,2020,3168,2317,1.6079
matara,commerce,MANAGEMENT University of Kelaniya,2020,2049,1498,1.6085
hambantota,commerce,MANAGEMENT University of Kelaniya,2020,1246,814,1.6165
jaffna,commerce,MANAGEMENT University of Kelaniya,2020,1049,737,1.6658
mannar,commerce,MANAGEMENT University of Kelaniya,2020,266,185,1.6236
trincomalee,commerce,MANAGEMENT University of Kelaniya,2020,720,455,1.6517
ampara,commerce,MANAGEMENT University of Kelaniya,2020,1217,779,1.6066
puttalam,commerce,MANAGEMENT University of Kelaniya,2020,1394,1102,1.6014
kurunegala,commerce,MANAGEMENT University of Kelaniya,2020,3119,2538,1.607
anuradhapura,commerce,MANAGEMENT University of Kelaniya,2020,2088,1453,1.606
polonnaruwa,commerce,MANAGEMENT University of Kelaniya,2020,1066,791,1.6151
badulla,commerce,MANAGEMENT University of Kelaniya,2020,2113,1467,1.6048
monaragala,commerce,MANAGEMENT University of Kelaniya,2020,1277,823,1.6151
kegalle,commerce,MANAGEMENT University of Kelaniya,2020,2011,1411,1.6071
ratnapura,commerce,MANAGEMENT University of Kelaniya,2020,2821,1989,1.6032
colombo,commerce,MANAGEMENT University of Jaffna,2020,9522,7029,1.3484
gampaha,commerce,MANAGEMENT University of Jaffna,2020,6173,4504,1.2983
kalutara,commerce,MANAGEMENT University of Jaffna,2020,3407,2510,1.3711
matale,commerce,MANAGEMENT University of Jaffna,2020,1236,850,1.2997
kandy,commerce,MANAGEMENT University of Jaffna,2020,4045,2737,1.2868
nuwara eliya,commerce,MANAGEMENT University of Jaffna,2020,1474,1015,1.0372
hambantota,commerce,MANAGEMENT University of Jaffna,2020,1246,814,1.1545
jaffna,commerce,MANAGEMENT University of Jaffna,2020,1049,737,1.0691
kilinochchi,commerce,MANAGEMENT University of Jaffna,2020,237,159,1.1487
mannar,commerce,MANAGEMENT University of Jaffna,2020,266,185,1.1305
mullaitivu,commerce,MANAGEMENT University of Jaffna,2020,225,151,1.1795
vavuniya,commerce,MANAGEMENT University of Jaffna,2020,356,221,0.8323
trincomalee,commerce,MANAGEMENT University of Jaffna,2020,720,455,1.0218
batticaloa,commerce,MANAGEMENT University of Jaffna,2020,862,565,0.9536
ampara,commerce,MANAGEMENT University of Jaffna,2020,1217,779,0.9755
puttalam,commerce,MANAGEMENT University of Jaffna,2020,1394,1102,1.1706
kurunegala,commerce,MANAGEMENT University of Jaffna,2020,3119,2538,1.3197
anuradhapura,commerce,MANAGEMENT University of Jaffna,2020,2088,1453,1.2182
polonnaruwa,commerce,MANAGEMENT University of Jaffna,2020,1066,791,1.1226
badulla,commerce,MANAGEMENT University of Jaffna,2020,2113,1467,1.2401
ratnapura,commerce,MANAGEMENT University of Jaffna,2020,2821,1989,1.2529
colombo,commerce,MANAGEMENT University of Ruhuna,2020,9522,7029,1.404
gampaha,commerce,MANAGEMENT University of Ruhuna,2020,6173,4504,1.4028
kalutara,commerce,MANAGEMENT University of Ruhuna,2020,3407,2510,1.3979
matale,commerce,MANAGEMENT University of Ruhuna,2020,1236,850,1.4034
kandy,commerce,MANAGEMENT University of Ruhuna,2020,4045,2737,1.4068
nuwara eliya,commerce,MANAGEMENT University of Ruhuna,2020,1474,1015,1.4341
galle,commerce,MANAGEMENT University of Ruhuna,2020,3168,2317,1.402
matara,commerce,MANAGEMENT University of Ruhuna,2020,2049,1498,1.4193
hambantota,commerce,MANAGEMENT University of Ruhuna,2020,1246,814,1.4022
trincomalee,commerce,MANAGEMENT University of Ruhuna,2020,720,455,1.4349
batticaloa,commerce,MANAGEMENT University of Ruhuna,2020,862,565,1.4308
ampara,commerce,MANAGEMENT University of Ruhuna,2020,1217,779,1.4383
kurunegala,commerce,MANAGEMENT University of Ruhuna,2020,3119,2538,1.4054
anuradhapura,commerce,MANAGEMENT University of Ruhuna,2020,2088,1453,1.3985
polonnaruwa,commerce,MANAGEMENT University of Ruhuna,2020,1066,791,1.4069
badulla,commerce,MANAGEMENT University of Ruhuna,2020,2113,1467,1.4034
monaragala,commerce,MANAGEMENT University of Ruhuna,2020,1277,823,1.4019
kegalle,commerce,MANAGEMENT University of Ruhuna,2020,2011,1411,1.4083
ratnapura,commerce,MANAGEMENT University of Ruhuna,2020,2821,1989,1.4035
kandy,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,4045,2737,1.2863
nuwara eliya,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1474,1015,1.0424
hambantota,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1246,814,1.1624
mannar,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,266,185,1.2489
vavuniya,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,356,221,1.0453
trincomalee,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,720,455,1.0437
batticaloa,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,862,565,0.9505
ampara,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1217,779,0.982
puttalam,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1394,1102,1.1866
anuradhapura,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,2088,1453,1.2288
polonnaruwa,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1066,791,1.1354
badulla,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,2113,1467,1.2309
monaragala,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,1277,823,1.346
kegalle,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,2011,1411,1.3525
ratnapura,commerce,"MANAGEMENT Eastern University, Sri Lanka",2020,2821,1989,1.2406
colombo,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,9522,7029,1.3723
gampaha,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,6173,4504,1.2962
kandy,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,4045,2737,1.2907
nuwara eliya,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1474,1015,1.0852
hambantota,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1246,814,1.1601
jaffna,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1049,737,1.2147
trincomalee,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,720,455,1.0237
batticaloa,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,862,565,1.0037
ampara,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1217,779,1.0082
puttalam,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1394,1102,1.2262
anuradhapura,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,2088,1453,1.2217
polonnaruwa,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1066,791,1.1748
badulla,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,2113,1467,1.232
monaragala,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,1277,823,1.333
ratnapura,commerce,MANAGEMENT South Eastern University of Sri Lanka,2020,2821,1989,1.2397
colombo,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,9522,7029,1.3465
gampaha,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,6173,4504,1.2938
kalutara,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,3407,2510,1.3495
matale,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1236,850,1.2948
kandy,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,4045,2737,1.299
nuwara eliya,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1474,1015,1.3078
galle,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,3168,2317,1.3394
hambantota,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1246,814,1.2972
jaffna,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1049,737,1.4771
vavuniya,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,356,221,1.3961
trincomalee,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,720,455,1.3351
batticaloa,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,862,565,1.3912
ampara,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1217,779,1.317
puttalam,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1394,1102,1.2928
kurunegala,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,3119,2538,1.3131
anuradhapura,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,2088,1453,1.2921
polonnaruwa,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1066,791,1.3009
badulla,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,2113,1467,1.2966
monaragala,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,1277,823,1.3319
kegalle,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,2011,1411,1.3274
ratnapura,commerce,MANAGEMENT Rajarata University of Sri Lanka,2020,2821,1989,1.2923
colombo,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,9522,7029,1.3509
gampaha,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,6173,4504,1.35
kalutara,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,3407,2510,1.3497
matale,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1236,850,1.3533
kandy,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,4045,2737,1.351
nuwara eliya,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1474,1015,1.3886
galle,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,3168,2317,1.3507
matara,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,2049,1498,1.419
hambantota,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1246,814,1.3514
ampara,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1217,779,1.3855
puttalam,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1394,1102,1.3589
kurunegala,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,3119,2538,1.3497
anuradhapura,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,2088,1453,1.3508
polonnaruwa,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1066,791,1.3668
badulla,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,2113,1467,1.3497
monaragala,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,1277,823,1.3551
kegalle,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,2011,1411,1.3531
ratnapura,commerce,MANAGEMENT Sabaragamuwa University of Sri Lanka,2020,2821,1989,1.3514
colombo,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,9522,7029,1.3717
gampaha,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,6173,4504,1.3722
kalutara,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,3407,2510,1.3947
matale,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1236,850,1.3717
kandy,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,4045,2737,1.375
nuwara eliya,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1474,1015,1.3835
galle,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,3168,2317,1.3733
hambantota,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1246,814,1.388
trincomalee,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,720,455,1.3779
ampara,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1217,779,1.3829
puttalam,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1394,1102,1.3741
kurunegala,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,3119,2538,1.3745
anuradhapura,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,2088,1453,1.3769
polonnaruwa,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1066,791,1.3745
badulla,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,2113,1467,1.3727
monaragala,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,1277,823,1.385
kegalle,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,2011,1411,1.3829
ratnapura,commerce,MANAGEMENT Wayamba University of Sri Lanka,2020,2821,1989,1.4008
colombo,commerce,COMMERCE University of Sri Jayewardenepura,2020,9522,7029,1.5742
gampaha,commerce,COMMERCE University of Sri Jayewardenepura,2020,6173,4504,1.5755
kalutara,commerce,COMMERCE University of Sri Jayewardenepura,2020,3407,2510,1.5725
matale,commerce,COMMERCE University of Sri Jayewardenepura,2020,1236,850,1.5738
