District,stream,degree,year,students_sat,students_passed,z-score_cutoff
ampara,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,730,355,1.7345
anuradhapura,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,703,266,1.687
polonnaruwa,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,338,117,1.7857
badulla,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,784,399,1.8267
monaragala,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,372,136,1.9727
ratnapura,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,943,476,1.9595
gampaha,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1648,970,1.9238
matale,biological science,MEDICINE Wayamba University of Sri Lanka,2019,443,179,1.9473
kandy,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1615,860,1.9852
nuwara eliya,biological science,MEDICINE Wayamba University of Sri Lanka,2019,518,239,1.8684
vavuniya,biological science,MEDICINE Wayamba University of Sri Lanka,2019,170,85,1.7894
puttalam,biological science,MEDICINE Wayamba University of Sri Lanka,2019,493,284,1.9267
kurunegala,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1567,802,2.0436
anuradhapura,biological science,MEDICINE Wayamba University of Sri Lanka,2019,703,266,1.7481
polonnaruwa,biological science,MEDICINE Wayamba University of Sri Lanka,2019,338,117,1.843
badulla,biological science,MEDICINE Wayamba University of Sri Lanka,2019,784,399,1.9109
monaragala,biological science,MEDICINE Wayamba University of Sri Lanka,2019,372,136,1.6753
kegalle,biological science,MEDICINE Wayamba University of Sri Lanka,2019,972,467,2.1362
colombo,biological science,DENTAL SURGERY University of Peradeniya,2019,2688,1838,2.0326
gampaha,biological science,DENTAL SURGERY University of Peradeniya,2019,1648,970,1.913
kalutara,biological science,DENTAL SURGERY University of Peradeniya,2019,1018,609,2.0355
matale,biological science,DENTAL SURGERY University of Peradeniya,2019,443,179,1.8557
kandy,biological science,DENTAL SURGERY University of Peradeniya,2019,1615,860,1.9612
nuwara eliya,biological science,DENTAL SURGERY University of Peradeniya,2019,518,239,1.4729
galle,biological science,DENTAL SURGERY University of Peradeniya,2019,1271,694,2.0186
hambantota,biological science,DENTAL SURGERY University of Peradeniya,2019,722,317,1.8047
jaffna,biological science,DENTAL SURGERY University of Peradeniya,2019,779,482,1.9479
kilinochchi,biological science,DENTAL SURGERY University of Peradeniya,2019,114,72,1.5918
mannar,biological science,DENTAL SURGERY University of Peradeniya,2019,102,56,1.8964
mullaitivu,biological science,DENTAL SURGERY University of Peradeniya,2019,81,42,1.1326
vavuniya,biological science,DENTAL SURGERY University of Peradeniya,2019,170,85,1.7721
trincomalee,biological science,DENTAL SURGERY University of Peradeniya,2019,331,182,1.7716
batticaloa,biological science,DENTAL SURGERY University of Peradeniya,2019,502,293,1.7515
ampara,biological science,DENTAL SURGERY University of Peradeniya,2019,730,355,1.7298
puttalam,biological science,DENTAL SURGERY University of Peradeniya,2019,493,284,1.7951
kurunegala,biological science,DENTAL SURGERY University of Peradeniya,2019,1567,802,1.9979
anuradhapura,biological science,DENTAL SURGERY University of Peradeniya,2019,703,266,1.6278
polonnaruwa,biological science,DENTAL SURGERY University of Peradeniya,2019,338,117,1.7827
badulla,biological science,DENTAL SURGERY University of Peradeniya,2019,784,399,1.773
monaragala,biological science,DENTAL SURGERY University of Peradeniya,2019,372,136,1.6367
kegalle,biological science,DENTAL SURGERY University of Peradeniya,2019,972,467,2.0342
ratnapura,biological science,DENTAL SURGERY University of Peradeniya,2019,943,476,1.9308
colombo,biological science,VETERINARY SCIENCE University of Peradeniya,2019,2688,1838,1.8619
gampaha,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1648,970,1.89
kalutara,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1018,609,1.9417
matale,biological science,VETERINARY SCIENCE University of Peradeniya,2019,443,179,1.8452
kandy,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1615,860,1.9482
nuwara eliya,biological science,VETERINARY SCIENCE University of Peradeniya,2019,518,239,1.437
galle,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1271,694,1.959
hambantota,biological science,VETERINARY SCIENCE University of Peradeniya,2019,722,317,1.7601
jaffna,biological science,VETERINARY SCIENCE University of Peradeniya,2019,779,482,1.9343
kilinochchi,biological science,VETERINARY SCIENCE University of Peradeniya,2019,114,72,1.4078
mannar,biological science,VETERINARY SCIENCE University of Peradeniya,2019,102,56,1.6798
mullaitivu,biological science,VETERINARY SCIENCE University of Peradeniya,2019,81,42,0.9074
vavuniya,biological science,VETERINARY SCIENCE University of Peradeniya,2019,170,85,1.6451
trincomalee,biological science,VETERINARY SCIENCE University of Peradeniya,2019,331,182,1.6728
batticaloa,biological science,VETERINARY SCIENCE University of Peradeniya,2019,502,293,1.6679
ampara,biological science,VETERINARY SCIENCE University of Peradeniya,2019,730,355,1.6903
puttalam,biological science,VETERINARY SCIENCE University of Peradeniya,2019,493,284,1.6815
kurunegala,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1567,802,1.9475
anuradhapura,biological science,VETERINARY SCIENCE University of Peradeniya,2019,703,266,1.5338
polonnaruwa,biological science,VETERINARY SCIENCE University of Peradeniya,2019,338,117,1.5868
badulla,biological science,VETERINARY SCIENCE University of Peradeniya,2019,784,399,1.7594
monaragala,biological science,VETERINARY SCIENCE University of Peradeniya,2019,372,136,1.4732
kegalle,biological science,VETERINARY SCIENCE University of Peradeniya,2019,972,467,1.9538
ratnapura,biological science,VETERINARY SCIENCE University of Peradeniya,2019,943,476,1.8881
colombo,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,2688,1838,1.5348
gampaha,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,1648,970,1.688
kalutara,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,1018,609,1.581
matale,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,443,179,1.2934
kandy,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,1615,860,1.7639
nuwara eliya,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,518,239,1.3991
galle,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,1271,694,1.7428
hambantota,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,722,317,1.6244
jaffna,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,779,482,1.6369
kilinochchi,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,114,72,1.0568
mannar,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,102,56,1.3195
mullaitivu,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,81,42,0.3502
vavuniya,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,170,85,1.4562
trincomalee,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,331,182,1.1063
batticaloa,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,502,293,1.5406
ampara,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,730,355,1.3826
puttalam,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,493,284,1.5286
kurunegala,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,1567,802,1.64
anuradhapura,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,703,266,1.5189
polonnaruwa,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,338,117,1.1585
badulla,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,784,399,1.6449
monaragala,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,372,136,1.1822
kegalle,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,972,467,1.6812
ratnapura,biological science,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,2019,943,476,1.7632
colombo,biological science,AGRICULTURE University of Jaffna,2019,2688,1838,0.9845
gampaha,biological science,AGRICULTURE University of Jaffna,2019,1648,970,0.8692
kalutara,biological science,AGRICULTURE University of Jaffna,2019,1018,609,1.065
matale,biological science,AGRICULTURE University of Jaffna,2019,443,179,1.0423
