Year,District,Programme,Stream,Number,Passed,Z-Score
2022,MATALE,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0612
2022,KANDY,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0545
2022,NUWARA ELIYA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0969
2022,GALLE,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0791
2022,MATARA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0508
2022,HAMBANTOTA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0508
2022,JAFFNA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.1087
2022,MULLAITIVU,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,
2022,TRINCOMALEE,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0533
2022,BATTICALOA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0571
2022,AMPARA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0536
2022,PUTTALAM,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0552
2022,KURUNEGALA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0517
2022,ANURADHAPURA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0651
2022,POLONNARUWA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.1071
2022,BADULLA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0619
2022,MONARAGALA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.1015
2022,KEGALLE,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.06
2022,RATNAPURA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0526
2022,COLOMBO,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.879
2022,GAMPAHA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.7278
2022,KALUTARA,MEDICINE (University of Jaffna),Bio Science,40329.0,25851.0,1.784
